city,state,total_listings,avg_price_per_m2,median_price_per_m2,investment_score
Balneário Camboriú,sc,81,15350.08,14444.44,72.25
Nova Lima,mg,26,11153.07,9760.05,64.21
Manaus,am,1907,5419.06,5307.26,63.41
Ipojuca,pe,308,14452.81,15001.21,62.86
Bertioga,sp,30,11595.08,8660.72,56.94
Indaiatuba,sp,39,7554.22,7936.49,56.93
Vitória,es,234,10833.54,10511.44,56.4
Cabo de Santo Agostinho,pe,31,9842.11,9339.62,55.89
Eusébio,ce,317,6317.18,6166.67,55.49
Senador Canedo,go,91,6166.47,6585.19,54.61
Itajaí,sc,78,10301.45,9438.07,53.57
Florianópolis,sc,624,9929.35,9143.73,53.06
Paulínia,sp,27,5764.04,5987.26,51.84
Curitiba,pr,563,8530.64,7589.29,51.08
Vila Velha,es,885,9009.45,9166.67,50.98
Guarapari,es,292,8373.29,8000.0,50.23
Goiânia,go,1800,7542.56,7776.0,50.19
Camboriú,sc,86,7618.11,7541.67,49.66
Campinas,sp,82,7230.91,6573.8,49.41
Cotia,sp,34,6689.52,6413.1,49.09
